RespondentID,StartDate,EndDate,IP_Address,Pop_Code,Region,Family_Name,Given_Name,email,Collection_Date,Latitude,Longitude,Altitude,Pop_Size,Pct_Canopy_Cover,EarthTrek_name,Population_Type,Type_Other,Understory,Roadside,Hand_Removal,Herbicide,Mowing,Biocontrol,None_Known,Sampled_Before,NPlots,P1Ros,P1Adult,P1Ros0,P1Ros20,P1Ros40,P1Ros60,P1Ros80,P1Adult0,P1Adult20,P1Adult40,P1Adult60,P1Adult80,P1Fruits0,P1Fruits20,P1Fruits40,P1Fruits60,P1Fruits80,P1Leaves0,P1Leaves20,P1Leaves40,P1Leaves60,P1Leaves80,P1Dmg0,P1Dmg20,P1Dmg40,P1Dmg60,P1Dmg80,P2Ros,P2Adult,P2Ros0,P2Ros20,P2Ros40,P2Ros60,P2Ros80,P2Adult0,P2Adult20,P2Adult40,P2Adult60,P2Adult80,P2Fruits0,P2Fruits20,P2Fruits40,P2Fruits60,P2Fruits80,P2Leaves0,P2Leaves20,P2Leaves40,P2Leaves60,P2Leaves80,P2Dmg0,P2Dmg20,P2Dmg40,P2Dmg60,P2Dmg80,P3Ros,P3Adult,P3Ros0,P3Ros20,P3Ros40,P3Ros60,P3Ros80,P3Adult0,P3Adult20,P3Adult40,P3Adult60,P3Adult80,P3Fruits0,P3Fruits20,P3Fruits40,P3Fruits60,P3Fruits80,P3Leaves0,P3Leaves20,P3Leaves40,P3Leaves60,P3Leaves80,P3Dmg0,P3Dmg20,P3Dmg40,P3Dmg60,P3Dmg80,P4Ros,P4Adult,P4Ros0,P4Ros20,P4Ros40,P4Ros60,P4Ros80,P4Adult0,P4Adult20,P4Adult40,P4Adult60,P4Adult80,P4Fruits0,P4Fruits20,P4Fruits40,P4Fruits60,P4Fruits80,P4Leaves0,P4Leaves20,P4Leaves40,P4Leaves60,P4Leaves80,P4Dmg0,P4Dmg20,P4Dmg40,P4Dmg60,P4Dmg80,P5Ros,P5Adult,P5Ros0,P5Ros20,P5Ros40,P5Ros60,P5Ros80,P5Adult0,P5Adult20,P5Adult40,P5Adult60,P5Adult80,P5Fruits0,P5Fruits20,P5Fruits40,P5Fruits60,P5Fruits80,P5Leaves0,P5Leaves20,P5Leaves40,P5Leaves60,P5Leaves80,P5Dmg0,P5Dmg20,P5Dmg40,P5Dmg60,P5Dmg80,P6Ros,P6Adult,P6Ros0,P6Ros20,P6Ros40,P6Ros60,P6Ros80,P6Adult0,P6Adult20,P6Adult40,P6Adult60,P6Adult80,P6Fruits0,P6Fruits20,P6Fruits40,P6Fruits60,P6Fruits80,P6Leaves0,P6Leaves20,P6Leaves40,P6Leaves60,P6Leaves80,P6Dmg0,P6Dmg20,P6Dmg40,P6Dmg60,P6Dmg80,P7Ros,P7Adult,P7Ros0,P7Ros20,P7Ros40,P7Ros60,P7Ros80,P7Adult0,P7Adult20,P7Adult40,P7Adult60,P7Adult80,P7Fruits0,P7Fruits20,P7Fruits40,P7Fruits60,P7Fruits80,P7Leaves0,P7Leaves20,P7Leaves40,P7Leaves60,P7Leaves80,P7Dmg0,P7Dmg20,P7Dmg40,P7Dmg60,P7Dmg80,P8Ros,P8Adult,P8Ros0,P8Ros20,P8Ros40,P8Ros60,P8Ros80,P8Adult0,P8Adult20,P8Adult40,P8Adult60,P8Adult80,P8Fruits0,P8Fruits20,P8Fruits40,P8Fruits60,P8Fruits80,P8Leaves0,P8Leaves20,P8Leaves40,P8Leaves60,P8Leaves80,P8Dmg0,P8Dmg20,P8Dmg40,P8Dmg60,P8Dmg80,P9Ros,P9Adult,P9Ros0,P9Ros20,P9Ros40,P9Ros60,P9Ros80,P9Adult0,P9Adult20,P9Adult40,P9Adult60,P9Adult80,P9Fruits0,P9Fruits20,P9Fruits40,P9Fruits60,P9Fruits80,P9Leaves0,P9Leaves20,P9Leaves40,P9Leaves60,P9Leaves80,P9Dmg0,P9Dmg20,P9Dmg40,P9Dmg60,P9Dmg80,P10Ros,P10Adult,P10Ros0,P10Ros20,P10Ros40,P10Ros60,P10Ros80,P10Adult0,P10Adult20,P10Adult40,P10Adult60,P10Adult80,P10Fruits0,P10Fruits20,P10Fruits40,P10Fruits60,P10Fruits80,P10Leaves0,P10Leaves20,P10Leaves40,P10Leaves60,P10Leaves80,P10Dmg0,P10Dmg20,P10Dmg40,P10Dmg60,P10Dmg80,email_update,email_update_address,Day,Year,second_survey,P1RosFung,P1AdultFung,P1Fung0,P1Fung20,P1Fung40,P1Fung60,P1Fung80,P2RosFung,P2AdultFung,P2Fung0,P2Fung20,P2Fung40,P2Fung60,P2Fung80,P3RosFung,P3AdultFung,P3Fung0,P3Fung20,P3Fung40,P3Fung60,P3Fung80,P4RosFung,P4AdultFung,P4Fung0,P4Fung20,P4Fung40,P4Fung60,P4Fung80,P5RosFung,P5AdultFung,P5Fung0,P5Fung20,P5Fung40,P5Fung60,P5Fung80,P6RosFung,P6AdultFung,P6Fung0,P6Fung20,P6Fung40,P6Fung60,P6Fung80,P7RosFung,P7AdultFung,P7Fung0,P7Fung20,P7Fung40,P7Fung60,P7Fung80,P8RosFung,P8AdultFung,P8Fung0,P8Fung20,P8Fung40,P8Fung60,P8Fung80,P9RosFung,P9AdultFung,P9Fung0,P9Fung20,P9Fung40,P9Fung60,P9Fung80,P10RosFung,P10AdultFung,P10Fung0,P10Fung20,P10Fung40,P10Fung60,P10Fung80,CoverPic_Mean
94,6/15/2011__5:45:17_PM,6/15/2011__7:26:08_PM,REDACTED,CWRIC1,NorthAm,REDACTED,REDACTED,REDACTED,6/13/2011,37.550974,-77.51833,29,25,50,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,6,5,10,7,5,NA,NA,NA,100,95,100,110,125,47,26,72,22,29,31,38,35,46,51,7,12,9,5,10,0,8,NA,NA,NA,NA,NA,NA,127,120,100,80,NA,29,30,50,20,NA,37,41,33,29,NA,9,10,10,6,1,1,NA,NA,NA,NA,8,69,NA,NA,NA,NA,21,NA,NA,NA,NA,26,NA,NA,NA,NA,3,NA,NA,NA,NA,6,2,5,8,6,3,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,313,NA,NA,NA,NA,159,NA,NA,NA,NA,10,1,1,NA,NA,8,NA,NA,86,NA,NA,NA,NA,9,NA,NA,NA,NA,10,NA,NA,NA,NA,6,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,78,NA,NA,NA,NA,39,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,163,2011,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.7915
93,6/15/2011__6:41:57_PM,6/15/2011__7:23:20_PM,REDACTED,DKPIB1,NorthAm,REDACTED,REDACTED,REDACTED,6/13/2011,41.654637,-82.830434,189,200,95,REDACTED,Forest_Edge,NA,0,0,0,0,0,0,1,NA,10,14,13,10,8,8,4,6,10,92,122,89,66,84,20,76,32,15,24,9,28,15,20,0,0,0,1,0,9,7,4,6,7,14,2,114,116,105,36,36,104,394,25,8,5,34,67,20,8,5,1,0,2,0,1,3,8,3,NA,NA,NA,8,144,107,114,59,NA,300,52,109,11,NA,36,18,32,13,NA,2,4,4,2,NA,0,10,73,123,54,112,83,73,123,54,112,83,57,92,10,147,48,22,35,7,33,22,2,6,1,2,4,1,5,NA,NA,NA,NA,6,48,99,129,114,102,8,114,114,83,41,10,27,72,52,18,1,1,0,6,0,4,18,5,NA,12,5,NA,104,100,NA,64,91,70,33,NA,7,15,40,20,NA,11,13,3,0,NA,0,0,0,25,NA,NA,NA,NA,NA,108,97,74,129,69,34,29,12,80,20,15,15,9,24,19,1,2,3,6,0,5,25,6,7,9,8,NA,107,112,100,66,105,30,57,23,10,50,15,21,14,15,28,4,3,0,0,0,0,20,NA,NA,NA,NA,NA,95,158,97,86,58,35,79,40,36,11,23,53,22,15,8,0,0,2,0,0,13,5,4,8,8,5,10,115,86,86,NA,NA,63,36,35,NA,NA,33,14,21,NA,NA,10,4,0,NA,NA,YES,dkane@defiance.edu,163,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92.64
94,6/15/2011__7:34:59_PM,6/15/2011__9:00:16_PM,REDACTED,CWRIC2,NorthAm,REDACTED,REDACTED,REDACTED,6/4/2011,37.544016,-77.509875,30,35,90,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,0,6,NA,NA,NA,NA,NA,83,95,NA,NA,NA,12,21,NA,NA,NA,21,16,NA,NA,NA,5,8,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,5,NA,103,NA,101,50,NA,28,NA,29,8,NA,21,NA,17,9,NA,2,NA,6,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,3,NA,NA,NA,NA,53,52,NA,NA,NA,7,5,NA,NA,NA,2,0,NA,NA,NA,0,0,NA,NA,18,7,NA,1,2,NA,1,98,NA,72,59,NA,11,NA,10,8,NA,11,NA,8,5,NA,0,NA,0,0,NA,12,2,NA,NA,2,5,4,106,92,NA,NA,NA,42,32,NA,NA,NA,21,12,NA,NA,NA,3,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,83,96,NA,NA,NA,25,28,NA,NA,NA,14,14,NA,NA,NA,6,3,0,2,NA,NA,NA,NA,NA,74,35,NA,NA,NA,13,2,NA,NA,NA,7,8,NA,NA,NA,0,0,NA,NA,NA,NO,NA,154,2011,1,0,1,0,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,2,0,NA,2,6,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,76.96666667
95,6/15/2011__8:47:40_PM,6/15/2011__9:15:06_PM,REDACTED,AMGRAN1,NorthAm,REDACTED,REDACTED,REDACTED,6/12/2011,40.075634,-82.527055,328,350,90,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,1,7,NA,NA,NA,0.4,NA,NA,78,NA,96,NA,NA,17,NA,26,NA,NA,10,NA,13,NA,NA,0,NA,0,NA,0,2,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,18,NA,NA,NA,NA,10,NA,NA,NA,NA,0,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,53,24,90,51,NA,3,1,13,7,NA,10,4,15,8,NA,1,0,2,0,21,7,0.494,33.8,85.5,54.7,48,71,83,NA,32,70,11,15,NA,3,13,9,11,NA,5,10,9,11,NA,5,10,27,1,0.527,38.1,55.6,55.6,32.5,NA,NA,NA,41,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,NA,NA,0,NA,39,1,NA,49.9,40.1,101.9,47.2,NA,NA,NA,60,NA,NA,NA,NA,10,NA,NA,NA,NA,7,NA,NA,NA,NA,0,NA,10,4,0.5,NA,29,NA,NA,NA,78,NA,107,NA,NA,13,NA,40,NA,NA,10,NA,23,NA,NA,3,NA,0,NA,13,3,NA,70,21,67.3,45.3,NA,NA,97,NA,61,NA,NA,25,NA,11,NA,NA,21,NA,6,NA,NA,0,NA,1,15,4,112,49,48.9,54.9,NA,NA,45,58,NA,NA,NA,4,10,NA,NA,NA,7,8,NA,NA,NA,1,1,NA,NA,4,0,NA,NA,48.6,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,mccalla@denison.edu,162,2011,1,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,2,NA,1,NA,1,NA,0,0,NA,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,86.562
96,6/16/2011__1:25:05_AM,6/16/2011__1:58:07_AM,REDACTED,BMBL01,NorthAm,REDACTED,REDACTED,REDACTED,5/24/2011,36.115833,-81.653611,1077,50,80,REDACTED,Roadside,NA,0,1,0,0,0,0,1,NA,10,19,45,3,1.8,1.2,2,2.2,41,57,32,44,32,5,12,3,6,3,7,10,5,8,6,0,0,0,1,0,29,11,3.5,4.8,10,4.7,8.2,21,10.4,18,34,79.7,3,1,1,5,36,5,3,4,5,16,0,0,0,1,0,1,13,NA,NA,NA,3,NA,103,90,90.5,87,65,262,100,77,83,20,80,41,50,33,9,1,1,9,1,0,3,6,8,NA,2.5,NA,13.5,95,103,92,105,99,69,105,168,420,121,38,56,69,144,73,0,3,0,5,1,2,0,NA,NA,14.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4.5,NA,NA,NA,7,80,70,72,56,NA,180,10,421,62,NA,79,8,140,50,NA,3,0,2,0,NA,6,10,7,7.5,4.8,3,3.5,43,73,87,77,80,7,23,134,36,33,7,12,51,34,16,0,0,0,2,1,16,8,3.4,6,5.2,4.1,2.8,57,56,69,45,75,10,12,14,10,27,9,8,11,12,20,0,0,0,1,0,27,12,3.8,3,4.7,9,3.5,59,52,44,31,16,15,15,21,5,2,11,9,17,7,6,0,0,0,0,0,24,8,3.3,6.1,6,7.8,5.2,77,52,26.5,42,88,18,16,3,6,124,16,15,7,8,39,0,1,0,0,0,YES,bmontgomery@uscupstate.edu,143,2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.79
96,6/16/2011__1:24:37_AM,6/16/2011__2:59:28_AM,REDACTED,BMBL02,NorthAm,REDACTED,REDACTED,REDACTED,6/6/2011,36.142778,-81.696944,1140,30,95,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,1,7,7.5,NA,NA,NA,NA,113,75,100,76,112,397,17,172,39,289,94,10,55,11,85,10,0,5,0,8,8,17,7.5,5.5,3.5,3,3,64,103,76,98.5,101,19,159,20,32,78,10,56,9,15,37,0,3,0,0,1,130,9,1,4,3,6,5,99,59,98,23,64,80,10,79,2,13,27,8,43,4,10,2,0,1,0,0,90,21,3,2,2,3,2,81,66,84,91,76,31,13,27,30,20,15,12,15,17,10,0,0,0,0,0,69,20,1.5,5,2,4,1.5,41.5,79,87,82,110,7,22,27,20,88,6,13,17,10,44,1,0,0,0,0,83,13,1,1.5,3,9,8,106,62,94,102,65,70,13,81,108,14,34,9,26,30,8,0,0,1,1,1,48,18,7.5,4,5,1.5,2,92,92,98,103,98,52,43,91,71,42,17,16,25,26,21,2,0,1,0,0,1,8,4.5,NA,NA,NA,NA,120,98,117,99,116,157,35,93,106,83,51,25,33,43,33,3,2,0,0,1,11,2,6,9,4,7,3.5,81,111,NA,NA,NA,19,168,NA,NA,NA,15,77,NA,NA,NA,0,5,NA,NA,NA,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.76
97,6/16/2011__6:27:07_PM,6/16/2011__7:07:25_PM,REDACTED,VAWYN1,NorthAm,REDACTED,REDACTED,REDACTED,6/7/2011,40.95044444,-74.203803,152,252,90,REDACTED,Forest_Edge,NA,0,0,0,0,0,0,1,NA,10,24,4,8,5,10,NA,NA,25,NA,37,NA,NA,7,NA,7,NA,NA,6,NA,9,NA,NA,2,NA,0,NA,NA,10,0,NA,NA,NA,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,NA,4,7,6,9,NA,57,NA,NA,NA,NA,18,NA,NA,NA,NA,13,NA,NA,NA,NA,7,NA,NA,NA,14,1,NA,4,7,6,9,NA,NA,68,NA,NA,NA,NA,19,NA,NA,NA,NA,9,NA,NA,NA,NA,4,NA,NA,15,2,13,14,4,6,2,NA,19,25,NA,NA,NA,3,7,NA,NA,NA,7,5,NA,NA,NA,0,3,NA,NA,0,6,NA,NA,9,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,7,5,7,6,9,NA,63,NA,23,NA,9,20,NA,4,NA,NA,9,NA,4,NA,NA,0,NA,0,NA,48,4,6,5,9,2,4,59,NA,46,54,34,19,NA,18,18,8,9,NA,16,11,5,0,NA,2,4,3,52,10,8,6,5,3,6,NA,NA,55,36,63,NA,NA,14,8,21,NA,NA,7,3,12,NA,NA,1,2,3,62,7,7,9,8,4,6,42,27,NA,72,NA,11,4,NA,26,NA,10,6,NA,14,NA,3,6,NA,8,NA,NO,NA,157,2011,1,1,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,2,0,NA,0,NA,NA,NA,2,0,NA,NA,1,NA,NA,0,0,NA,0,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,89.62
98,6/17/2011__5:35:44_PM,6/17/2011__5:53:15_PM,REDACTED,SELOU,NorthAm,REDACTED,REDACTED,REDACTED,6/16/2011,38.243,-85.69976,142,10000,70,REDACTED,Forest_Understory,NA,1,0,1,1,0,0,0,NA,10,6,0,NA,16,2,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,0,2,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,9,7,7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,3,3,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,0,9,11,22,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,0,6,7,7,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,0,2,3,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0,9,14,7,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,0,9,7,6,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,1,5,6,10,6,9,100,NA,NA,NA,NA,94,NA,NA,NA,NA,23,NA,NA,NA,NA,3,NA,NA,NA,NA,YES,sarah.emery@louisville.edu,166,2011,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,88.07
98,6/17/2011__5:53:19_PM,6/17/2011__6:03:16_PM,REDACTED,SEBRN,NorthAm,REDACTED,REDACTED,REDACTED,6/16/2011,38.342666,-85.52767,197,10,50,REDACTED,Roadside,along_gravel_road_in_a_forest,0,0,0,0,0,0,1,NA,10,1,1,NA,NA,5,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,100,NA,NA,NA,NA,22,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,NA,5,NA,4,3,NA,NA,NA,44,52,NA,NA,NA,5,6,NA,NA,NA,3,3,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,1,3,2,4,5,5,NA,61,NA,NA,NA,NA,40,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,166,2011,1,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,89.92
99,6/23/2011__9:24:26_AM,6/23/2011__10:34:02_AM,REDACTED,ADBRE1,Europe,REDACTED,REDACTED,REDACTED,6/20/2011,47.23897222,27.48869444,172,100,70,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,0,15,NA,NA,NA,NA,NA,65,73,NA,88,67,10,9,NA,39,8,8,6,NA,28,6,1,2,NA,6,1,2,13,NA,NA,NA,4,NA,105,80,75,68,85,36,16,8,11,16,16,10,6,7,10,4,2,2,2,3,0,23,NA,NA,NA,NA,NA,68,110,65,95,92,8,27,4,26,50,9,22,13,17,27,4,6,4,5,8,0,21,NA,NA,NA,NA,NA,105,108,98,92,83,70,31,41,25,17,27,31,32,15,5,6,8,10,5,5,1,11,NA,5,NA,NA,NA,102,115,98,NA,NA,42,46,29,NA,NA,19,29,19,NA,NA,6,9,6,NA,NA,0,22,NA,NA,NA,NA,NA,64,108,76,64,92,5,52,17,2,9,7,33,11,7,10,2,10,3,2,3,0,46,NA,NA,NA,NA,NA,96,60,94,108,102,22,3,19,18,61,16,4,18,14,38,5,1,5,3,12,1,8,NA,NA,NA,NA,4,95,106,76,NA,104,41,57,29,NA,24,16,25,15,NA,10,4,8,4,NA,3,10,5,4,5,4,4,15,NA,115,96,NA,NA,NA,35,84,NA,NA,NA,21,35,NA,NA,NA,4,8,NA,NA,7,12,10,8,NA,12,8,82,84,115,118,98,14,19,40,79,81,9,14,17,24,33,2,5,5,6,11,YES,adiaconu@yahoo.com,170,2011,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,91.35
99,6/23/2011__9:24:26_AM,6/23/2011__11:03:45_AM,REDACTED,ADSL01,Europe,REDACTED,REDACTED,REDACTED,6/21/2011,47.05347222,27.65902778,290,50,90,REDACTED,Forest_Understory,Roadside_in_the_forest,1,1,0,0,0,0,1,NA,10,0,15,NA,NA,NA,NA,NA,71,52,111,118,82,8,3,21,23,12,8,6,10,13,10,6,6,5,6,4,0,12,NA,NA,NA,NA,NA,NA,NA,66,62,82,NA,NA,18,7,17,NA,NA,23,5,9,NA,NA,8,3,4,0,22,NA,NA,NA,NA,NA,103,97,94,106,85,13,17,11,11,15,15,9,8,11,10,5,3,4,6,3,0,14,NA,NA,NA,NA,NA,NA,92,48,52,68,NA,14,4,3,11,NA,11,8,6,12,NA,5,1,3,6,0,19,NA,NA,NA,NA,NA,87,95,80,73,61,12,14,9,8,12,8,10,9,9,12,4,4,5,6,7,0,42,NA,NA,NA,NA,NA,82,78,101,62,72,12,7,16,8,8,9,10,11,7,7,3,3,5,2,2,0,28,NA,NA,NA,NA,NA,72,128,110,118,80,10,45,19,27,33,8,21,9,14,34,2,7,3,2,11,0,16,NA,NA,NA,NA,NA,NA,48,110,56,93,NA,4,33,7,11,NA,7,22,8,11,NA,4,9,3,3,0,13,NA,NA,NA,NA,NA,103,128,89,86,NA,23,42,9,14,NA,18,19,8,9,NA,6,7,4,4,NA,0,10,NA,NA,NA,NA,NA,55,98,118,NA,125,5,13,21,NA,26,6,10,7,NA,14,2,2,3,NA,3,YES,adiaconu@yahoo.com,171,2011,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,95.84
